,HastaneAdi,Enlem,Boylam,Adres,Telefon
349,İstanbul- (Anadolu)- Ataşehir Ağız Ve Diş Sağlığı Merkezi,40.966774,29.105333,Ali Nihat Tarlan Caddesi Kartal Sokak No:11 İçerenköy Ataşehir,2164697740
350,İstanbul- (Anadolu)- Ataşehir- Fatih Sultan Mehmet Eğitim Araştırma Hastanesi,40.970596,29.104897,E-5 Karayolu Üzeri İçerenköy Ataşehir/istanbul,2165783000
351,İstanbul- (Anadolu)- Beykoz Ağız Ve Diş Sağlığı Merkezi,41.09709,29.091467,Çubuklu Mh. Vatan Cd. No-26 İstanbul/beykoz,2164250524
352,İstanbul- (Anadolu)- Beykoz Devlet Hastanesi,41.117126,29.08625,Saip Molla Cad.Kısayol Sok. No:1 Beykoz\istanbul,2163222210
353,İstanbul- (Anadolu)- Derviş Ali -Hesna Ceylan Ağız Ve Diş Sağlığı Merkezi,15.45,15.45,Ahmet Yesevi Mah. Mücahit Cad. No : 48 Sultanbeyli / İstanbul,2165924111
354,İstanbul- (Anadolu)- Dr.Siyami Ersek Göğüs Kalp Ve Damar Cerrahisi Eğitim Ve Araştırma Hastanesi,41.004288,29.024698,Tıbbiye Cad No:13 Haydarpaşa Üsküdar İstanbul,2165424444
355,İstanbul- (Anadolu)- Kadıköy- Erenköy Fizik Tedavi Ve Rehabilitasyon Hastanesi,40.978344,29.084217,"Şemsettin Günaltay Cad./sultan sok. no:14, erenköy/istanbul",2164118011
356,İstanbul- (Anadolu)- Kadıköy- Erenköy Ruh Ve Sinir Hastalıkları Eğitim Ve Araştırma Hastanesi,40.980675,29.0914,19 mAyıs Mah.Sinanercan Cad.No:29 Kazasker/kadıköy/istanbul ,2163609164
357,İstanbul- (Anadolu)- Kadıköy- Göztepe Ağız Ve Diş Sağlığı Merkezi,29.03,40.59,"Fahrettin Kerim Gökay Cad. No:161/8 Göztepe
Kadıköy/istanbul",2165659191
358,İstanbul- (Anadolu)- Kartal Ağız Ve Diş Sağlığı Merkezi,40.983074,29.221058,Barbaros Hayrettin Paşa Cad. Orta Mah. No: 66 Soğanlık-kartal / İstanbul P.K.:34888,2165863500
359,İstanbul- (Anadolu)- Kartal- Dr.Lütfi Kırdar Eğitim Ve Araştırma Hastanesi,40.91948,29.171963,E-5 Karayolu Mevkii Şemsi Denizer Cad. 34865,2164413900
360,İstanbul- (Anadolu)- Kartal- Koşuyolu Yüksek İhtisas Eğitim Ve Araştırma Hastanesi,40.911827,29.155483,"Cevizli Kavşağı Denizer Caddesi No 2 Kartal, İstanbul",2165001500
361,İstanbul- (Anadolu)- Kartal- Yakacık Doğum Ve Çocuk Hastalıkları Hastanesi,40.921036,29.2202,Çarşı Mah. Soğanlık Cad. No:17 - Yakacık / Kartal - İstanbul,2163772396
362,İstanbul- (Anadolu)- Kartal- Yavuz Selim  Devlet Hastanesi,40.891846,29.182262,İstasyon Cad. Doğan Sok. No:11 Kartal/istanbul,2163066850
363,İstanbul- (Anadolu)- Maltepe Devlet Hastanesi,40.937267,29.135023,"Altayçeşme Mah. Çam Sok. No:26-28 34843
Maltepe / İstanbul",2164597770
364,İstanbul- (Anadolu)- Meslek Hastalıkları Hastanesi,40.952938,29.139519,Başıbüyük Mahallesi Atatürk Caddesi Başıbüyük/maltepe - İstanbul,2164214400
365,İstanbul- (Anadolu)- Pendik Devlet Hastanesi,40.877438,29.229256,Batı Mahallesi Dr.Orhan Maltepe Cd. N:17 Pendik İstanbul,2164912937
366,İstanbul- (Anadolu)- S.B. İstanbul Medeniyet Üniversitesi Göztepe Eğitim Ve Araştırma Hastanesi,29.057781,40.985794,"İstanbul Medeniyet Üniversitesi 
Göztepe Eğitim Ve Araştırma Hastanesi
Prof. Fahrettin Gökay Cad.
Kadıköy / İstanbul
0216-566-40-00",2165664000
367,İstanbul- (Anadolu)- Sancaktepe Ağız Ve Diş Sağlığı Merkezi,41.007885,29.217924,"Eyüp Sultan Mahallesi, Müminler Cad. No:1
Sancaktepe - İstanbul",2165863600
368,İstanbul- (Anadolu)- Süreyyapaşa Göğüs Hastalıkları Ve Göğüs Cerrahisi Eğitim Ve Araştırma Hastanesi,40.953976,29.14072,Başıbüyük Mah. Maltepe İstanbul,2164214200
369,İstanbul- (Anadolu)- T.C.Sağlık Bakanlığı-marmara Üniversitesi Pendik Eğitim Ve Araştırma Hastanesi,40.979122,29.055748,Mimar Sinan Cad. No:41 Üst Kaynarca Fevzi Çakmak Mah. Pendik/istanbul,2166254545
370,İstanbul- (Anadolu)- Tacirler Eğitim Vakfı Sultanbeyli Devlet Hastanesi,40.96606,29.26584, Mehmet Akif Ersoy Mah. Cami Cad. No:3 Sultanbeyli-istanbul,2165642400
371,İstanbul- (Anadolu)- Tuzla Devlet Hastanesi,29.18,40.5,İçmeler Mah. Enise Sok No:5 Tuzla / İst,2164940952
372,İstanbul- (Anadolu)- Çekmeköy Ağız Ve Diş Sağlığı Merkezi,29.23,41.022,Soğukpınar Mah.Ihlamur Cad.No:40 Çekmeköy-taşdelen/istanbul,2163126077
373,İstanbul- (Anadolu)- Ümraniye Eğitim Ve Araştırma Hastanesi,41.032654,29.039206,Elmalı Kent Mh Adem Yavuz Cd No:1  Ümraniye/istanbul,2166321818
374,İstanbul- (Anadolu)- Üsküdar Devlet Hastanesi,41.025497,29.037498,"Barbaros Mahallesi Veysipaşa Sokak No:14 Koşuyolu Üsküdar İstanbul(Anabina (Eski Polis Hastanesi))
Kalfaçeşme Sokak No:1 Koşuyolu Üsküdar İstanbul (Validebağ(Eski Öğretmenler Hastanesi))
Halk Caddesi Sunar İş Hanı No:37 Üsküdar İstanbul (Doğancılar Semt Polikliniği)",2164747900
375,İstanbul- (Anadolu)- Üsküdar- Haydarpaşa Numune Eğitim Ve Araştırma Hastanesi,41.009308,29.02259,Tıbbıye Cad.No:40 Üsküdar/istanbul,2165423232
376,İstanbul- (Anadolu)- Üsküdar- Zeynep Kamil Kadın Ve Çocuk Hastalıkları Eğitim Ve Araştırma Hastanesi,41.014874,29.026888,"Zeynep Kamil Mahallesi, Dr.Burhanettin Üstünel Sokak, No:3-4 34668 Üsküdar-istanbul",2163910680
377,İstanbul- (Anadolu)- Şile Devlet Hastanesi,29.616653,41.17459,Atatürk Cad Balibey Mah.No :1 Şile/istanbul,2167120999
378,İstanbul- (Avrupa)- Arnavutköy Devlet Hastanesi,28.747116,41.17765,"Merkez Mahallesi  Fatih Caddesi No:3 Arnavutköy / İstanbul 
",2124531212
379,İstanbul- (Avrupa)- Avcılar Ağız Ve Diş Sağlığı Merkezi,28.716389,40.981915,Kirazlı Cad. Gökler Sokak No:60/2 Avcılar /istanbul,2124200808
380,İstanbul- (Avrupa)- Bahçelievler Ağız Ve Diş Sağlığı Merkezi,40.99959,28.855564,Adnan Kahveci Bulvarı Eski Londra Asfaltı No:141/2 Bahçelievler/ist,2124415312
381,İstanbul- (Avrupa)- Bahçelievler Devlet Hastanesi,15.45,15.45,Bahçelievler,2124967000
382,İstanbul- (Avrupa)- Bahçelievler- Fizik Tedavi Ve Rehabilitasyon Eğitim Ve Araştırma Hastanesi,28.84444,41.006382,"Kocasinan Merkez Mahallesi Karadeniz Caddesi No:48
Bahçelievler
İstanbul
34192",2124422200
383,İstanbul- (Avrupa)- Bakırköy -Lepra Deri Ve Zührevi Hastalıkları Hastanesi,40.989532,28.858418,"Zuhuratbaba Mah.Tevfik Sağlam Caddesi No:26/4 Akıl Hastanesi Arkası
Bakırköy - İstanbul",2125701026
384,İstanbul- (Avrupa)- Bakırköy Prof.Dr.Mazhar Osman Ruh Sağ. Ve Sinir Hast.  Eğt. Ve Araş. Hastanesi,40.990654,28.860542,"Zuhratbaba Mah Dr. Teyfik Sağlam Cad No : 25/2 
Sağlık Bakanlığı Türkiye Kamu Hastaneleri Kurumu
 İstanbul Bakırköy Bölgesi Kamu Hastaneleri Birliği Genel Sekreterliği
Bakırköy Prof. Dr. Mazhar Osman Ruh Sağlığı Ve Sinir Hastalıkları
Eğitim Ve Araştırma Hastanesi
",2124091515
385,İstanbul- (Avrupa)- Bakırköy- Deri Ve Tenasül Hastalıkları Hastanesi,41.009308,28.985683,"Zuhuratbaba Mahallesi, Doktor Tevfik Sağlam Caddesi, No.26 Bakırköy - İstanbul ",2125728293
386,İstanbul- (Avrupa)- Bakırköy- Dr.Sadi Konuk Eğitim Araştırma Hastanesi,40.993954,28.865831,"Tevfik Sağlam Cad. No:11
Zuhuratbaba İstanbul
34147
Türkiye ",2124147171
387,İstanbul- (Avrupa)- Bayrampaşa Devlet Hastanesi,41.04188,28.903076,İsmetpaşa Mah. Kenar Sok. No:22 Bayrampaşa - İstanbul,2125676774
388,İstanbul- (Avrupa)- Bağcılar Eğitim Ve Araştırma Hastanesi,41.0311,28.870243,"Merkez Mahallesi Mimar Sinan Caddesi 6. Sokak  Bağcılar / İstanbul
",2124404000
389,İstanbul- (Avrupa)- Başakşehir Devlet Hastanesi,41.055798,28.801834,"Başakşehir 4.Etap Yunus Emre Caddesi İett Son Durak 
Başakşehir Devlet Hastanesi",2124880170
390,İstanbul- (Avrupa)- Beşiktaş- Sait Çiftçi Devlet Hastanesi,15.45,15.45,Barbaros Bulvarı No:109 Beşiktaş-istanbul,2123816700
391,İstanbul- (Avrupa)- Büyükçekmece Devlet Hastanesi,41.01297,28.598675,"1)Sahil(Acil) Binası: Atatürk Mah. Mustafa K. Paşa Cad. Hülya Koçyiğit Sok No: 1 Büyükçekmece - İstanbul
2)Gürpınar (Ek) Poliklinik Binası: Pınartepe Mah. Belediye Cad.5/a daire 1 büyükçekmece istanbul (eski gürpınar belediye binası)
3)eski ssk binası-dizdariye mah. gülboyu cad.büyükçekmece/istanbul",2128821680
392,İstanbul- (Avrupa)- Dr.Necmi Ayanoğlu Silivri Devlet Hastanesi,41.078186,28.250095,Yeni Mahalle Efrahim Öztürk Sokak No:1 Silivri/istanbul,2127272100
393,İstanbul- (Avrupa)- Esenler Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,41.0,28.0,Havaalanı Mah.Taşocağı Cad.No 19 34220 Esenler/istanbul,2126291308
394,İstanbul- (Avrupa)- Esenyurt Devlet Hastanesi,41.04259,28.666656,Fatih Mahallesi 19 Mayıs Bulvarı No:8 Esenyurt/istanbul,2125961999
395,İstanbul- (Avrupa)- Eyüp Devlet Hastanesi,41.0572,28.941015,Silahtarağa Caddesi No: 53\55\57,2124172900
396,İstanbul- (Avrupa)- Fatih- İstanbul Eğitim Ve Araştırma Hastanesi,41.008663,28.938332,"Kasap İlyas Mah. Org. Abdurrahman Nafiz Gürman Cd. Pk: 34098 
Fatih-istanbul",2125884400
397,İstanbul- (Avrupa)- Fatih-haseki Eğitim Ve Araştırma Hastanesi,41.010185,28.94434,"Millet Cd. Aksaray / Fatih -İstanbul 
",2125294400
398,İstanbul- (Avrupa)- Gaziosmanpaşa Taksim Eğitim Ve Araştırma Hastanesi,41.036118,28.983307,Karayolları Mahallesi 616. Sokak Gaziosmanpaşa İstanbul,2122524300
399,İstanbul- (Avrupa)- Güngören Ağız Ve Diş Sağlığı Merkezi,41.002056,28.85402,Merkez Mahallesi Ünlü Sokak No:6 Köyiçi-güngören/ İstanbul ,2125563636
400,İstanbul- (Avrupa)- Kağıthane Devlet Hastanesi,29.00144,41.092194,Sanayi Mah. Şahinler Sk. No:23 P.K.: 34416 Kağıthane/istanbul,2122802222
401,İstanbul- (Avrupa)- Kağıthane- İl Özel İdaresi Ağız Ve Diş Hastalıkları Hastanesi,41.067123,28.974466,Darülaceze Cad. Gürsel Mahallesi Kağıthane / İstanbul,2123201043
402,İstanbul- (Avrupa)- Küçükçekmece- Kanuni Sultan Süleyman Eğitim Ve Araştırma Hastanesi,41.055553,28.75989,"Altınşehir, Turgut Özal Cd. No:1 34303 Halkalı / Küçükçekmece / İstanbul",2124041500
403,İstanbul- (Avrupa)- Mehmet Akif Ersoy Göğüs Kalp Ve Damar Cerrahisi Eğitim Ve Araştırma Hastanesi,41.02194,28.771322,İstasyon Mah.Turgut Özal Bulvarı No:11 Küçükçekmece- İstanbul,2126922000
404,İstanbul- (Avrupa)- Prof.Dr.N.Reşat Belger Beyoğlu Göz Eğitim Ve Araştırma Hastanesi,41.028866,28.973694,Bereketzade Cami Sokak No:2 Beyoğlu/istanbul (Galata Kulesinin 50 M Asagisinda),2122515900
405,İstanbul- (Avrupa)- Sarıyer- Metin Sabancı Baltalimanı Kemik Hastalıkları Eğitim Araştırma Hastanesi,41.097076,29.05341,Rumelihisarı Cad.No:62 Baltalimanı Sarıyer İstanbul,2123237075
406,İstanbul- (Avrupa)- Sarıyer- İsmail Akgün Devlet Hastanesi,41.17245,29.056778,Dursun Fakih Sok. No:1 Sarıyer-istanbul,2122420665
407,İstanbul- (Avrupa)- Sarıyer- İstinye Devlet Hastanesi,41.119194,29.057293,"İstinye Caddesi No:98
34465 İstinye - Sarıyer - İstanbul",2123234444
408,İstanbul- (Avrupa)- Sultangazi- Lütfiye Nuri Burat Devlet Hastanesi,41.096752,28.867178,Lütfiye Nuri Burat Devlet Hastanesi 50.Yıl Mah. 2106 Sokak No:8 Sultangazi / İstanbul ,2125941253
409,İstanbul- (Avrupa)- Süleymaniye Kadın Doğum Ve Çocuk Hastalıkları Eğitim Ve Araştırma Hastanesi,40.999077,28.914127,Telsiz Mah. Balıklı Kazlıçeşme Yolu No:1 Zeytinburnu / İstanbul ,2124986161
410,İstanbul- (Avrupa)- Topçular Ağız Ve Diş Sağlığı Merkezi,1745.0,1650.0,Abdi İpekçi Caddesi Bayrampaşa Rami ,2126169812
411,İstanbul- (Avrupa)- Yedikule Göğüs Hastalıkları Ve Göğüs Cerrahisi Eğitim Ve Araştırma Hastanesi,41.00361,28.920135,Belgrad Kapı Yolu No:1 Zeytinburnu / ,2126641700
412,İstanbul- (Avrupa)- Çatalca- İlyas Çokay Devlet Hastanesi,41.138977,28.466751,"Ferhat Paşa Mahallesi,İstanbul Caddesi Çatalca/istanbul",2127891792
413,İstanbul- (Avrupa)- Şişli Etfal Eğitim Ve Araştırma Hastanesi,41.058044,28.989956,"19 mAyıs Mh., 34360 Şişli/istanbul 
",2123735000
414,İstanbul- (Avrupa)- Şişli- Okmeydanı Eğitim Ve Araştırma Hastanesi,41.072105,28.976097,"Okmeydanı Eğitim Araştırma Hastanesi:darulaceze Cad. No:25 Okmeydanı-şişli / İstanbul
Darülaceze Polikliniği:darulaceze Cad. No:51 Okmeydanı-şişli / İstanbul
Gülbahar Semt Polikliniği:galata Deresi Cad.No:45 Gülbağ/mecidiyeköy/",2123145555
415,İzmir Alper Çizgenakat Çeþme Devlet Hastanesi,38.317444,26.325102,Fahrettinpaþa Mahallesi Boyalİk Mevkii Çeþme / İzmir,2327120777
416,İzmir Alsancak Aðİz Ve Diþ Saðlİðİ Merkezi,38.4404,27.145033,"1474 Sok No:6 Alsancak-izmir
Alsancak Gar Karþİsİ",2324647862
417,İzmir Alsancak Nevvar Salih İþgören Devlet Hastanesi,27.14,38.43,Ali Çetinkaya Bulvarİ Bo 26 Alsancak/izmir,2324636465
418,İzmir Aliaða Devlet Hastanesi,38.787148,26.975866,Yeni Mah.Rumeli Cad No:7 Aliaða İzmir,2326168787
419,İzmir Bayİndİr Devlet Hastanesi,38.22167,27.650118,Mithatpaþa Mh.Hastane Cad.No:35 Bayİndİr/izmir,2325813036
420,İzmir Bornova Aðİz Ve Diþ Saðlİðİ Merkezi,38.46614,27.209444,Mersinli Mah 2800 Sokak No :2 Çİnarlİ\konak\izmir,2324357262
421,İzmir Bornova Türkan Özilhan Devlet Hastanesi,38.458652,27.25063,Ankara Asfaltİ Üzeri 4. Sanayii Sitesi Giriþi No:305/a Bornova -İzmir,2324443512
422,İzmir Bozyaka Eðitim Ve Araþtİrma Hastanesi,38.398067,27.126541,Saim Çİkrİkçİ Cd. No:59 Bozyaka/izmir,2322505050
423,İzmir Buca Kadİn Doðum Ve Çocuk Hastalİklarİ Hastanesi,38.37593,27.18019,"T.C. S.B.İzmir Buca Kadİn Doðum Ve Çocuk Hast. Hastanesi
Hoca Ahmed Yesevi Cd. No:27/95 Buca-izmir
",2324540101
424,İzmir Buca Seyfi Demirsoy Devlet Hastanesi,38.385517,27.166656,"Buca Seyfi Demirsoy Devlet Hastanesi Özmen Cd. No:145 Buca / İzmir
",2324525252
425,İzmir Dr.Behçet Uz Çocuk Hastalİklarİ Ve Cerrahisi Eðitim Ve Araþtİrma Hastanesi,38.428364,27.138506,"İsmet Kaptan Mh., 35210 Konak/izmir ",2324116000
426,İzmir Dr.Faruk İlker Bergama Devlet Hastanesi,39.116997,27.19759,İslamsaray Mahallesi Adnan Menderes Bulvarİ No :223 Bergama ,2326312894
427,İzmir Dr.Suat Seren Göðüs Hastalİklarİ Ve Cerrahisi Eðitim Ve Araþtİrma Hastanesi,38.423553,27.16416,"Gazİler Cad. No:331/16 Yenİþehİr
Konak/İzmİr",2324333333
428,İzmir Dikili Devlet Hastanesi,39.06717,26.887157,Salimbey Mah. Reyhan Sok. No:4 Dikili/izmir,2326713500
429,İzmir Eðitim Diþ Hastanesi,38.41456,27.129042,"Sümer Mah. 451. Sok. 
Konak 
İzmir 
",2324418181
430,İzmir Foça Devlet Hastanesi,38.671406,26.755136,İsmetpaþa Mah.Sahil Cad.No:93 Foça İzmir,2328121429
431,İzmir Gaziemir Nevvar Salih İþgören Devlet Hastanesi,38.31,27.13,Sevgi Mah Nevvar Salih İþgören Cd.No.16 Gaziemir-izmir,2322909301
432,İzmir Karþİyaka Aðİz Ve Diþ Saðlİðİ Merkezi,38.470528,27.098846,6178/2 Sk. No:3 Demirköprü Karþİyaka İzmir,2324443543
433,İzmir Karþİyaka Devlet Hastanesi,38.474987,27.10507,Anadolu Cad. No:382    Karþİyaka/izmir,2323668888
434,İzmir Katip Çelebi Üniversitesi Atatürk Eðitim Ve Araþtİrma Hastanesi,38.39687,27.104647,"Basİ Sitesi Mh. 170 Sokak 35965 Karabaðlar / İzmir
",2322434343
435,İzmir Kemalpaþa Devlet Hastanesi,38.435833,27.409918,"Kİrovasİ Küme Bulvarİ 8 Eylül Mahallesi 81/1 Sokak Posta Kodu: 35170
Kemalpaþa/izmir",2328780016
436,İzmir Kiraz Devlet Hastanesi,38.23089,28.218212,Cumhuriyet Mahallesi Atatürk Bulvarİ Kubilay Sok No:9 Kiraz/izmir,2325723023
437,İzmir M.Enver Þenerdem Torbalİ Devlet Hastanesi,38.153008,27.354471,"M.Enver Þenerdem Torbalİ Devlet Hastanesi
Muratbey Mah. Doðan Bursalİoðlu Cad. No.20 Torbalİ İzmir",2328561672
438,İzmir Menemen Devlet Hastanesi,38.607037,27.087612,Uður Mumcu Mah. 1249 Sok. No:11 Menemen / İzmir,2328325859
439,İzmir Narlİdere Aðİz Ve Diþ Saðlİðİ Merkezi,38.39,26.99,Mithatpaþa Cad. Huzur Mah.No:2 Narlİdere-izmir,2322391222
440,İzmir Nejat Hepkon Seferihisar Devlet Hastanesi,38.197193,26.845703,Turabiye Mah.Yeþillikcad. Seferihisar -İzmir,2327434806
441,İzmir Selçuk Devlet Hastanesi,37.947575,27.367981,"Atatürk Bulvarİ No:9 Selçuk
",2328927036
442,İzmir Tepecik Eðitim Ve Araþtİrma Hastanesi,38.423225,27.163078,"Güney Mahallesi  1140/1 Sokak No : 1
Yeniþehir 
Konak İzmir",2324696969
443,İzmir Tire  Devlet Hastanesi,38.14536,27.702026,Atatürk Mahallesi İnönü Bulvarİ No:1 Tire - İzmir,2325121522
444,İzmir Urla Devlet Hastanesi,38.37101,26.786478,İskele Yolu Urla Devlet Hastanesi Urla İzmir,2327521004
445,İzmir Çiðli Devlet Hastanesi,38.506367,27.063276,"8845. Sokak No: 4  Egekent-çiðli/izmir
",2324443513
446,İzmir Ödemiþ Devlet Hastanesi,38.23424,27.977993,Saraçoðlu Caddesi No:120 Ödemiþ/izmir,2325445113
447,Kars Aiz Ve Di Salii Merkezi,40.571377,43.09535,"Babakanlik Yeni ehir Mah., Toki Konutlari, Kars Merkez/kars",4742135891
448,Kars Devlet Hastanesi,40.588993,43.096596,Kanli Tabya Sok.Kanal Yolu.rnek Mah.,4742125668
449,Kars Kaizman Devlet Hastanesi,40.143814,43.12041,imam Hasan Acara Caddesi Kaizman Devlet Hastanesi,4743516841
450,Kars Sarikami Devlet Hastanesi,40.32615,42.59311,Yeni Mahalle Erzurum Yolu Sarikami/kars,4744135554
451,Kars Selim ile Hastanesi,40.4676,42.788803,ari Mah.Kazim Paa Cad. Kars/selim,4744613390
452,Kastamonu Ara le Devlet Hastanesi,41.14024,33.19012,Yeni Mahalle Hastane Caddesi No:56 Ara/kastamonu,3663621218
453,Kastamonu Azdavay le Hastanesi,41.640812,33.29833,Karyaka Mahallesi Baesgiolu Caddesi Odaba Sokak No:4 Azdavay / Kastamonu,3667171014
454,Kastamonu Az Ve Di Sal Merkezi,33.78052,41.397747,nn Mah. Yaln Cad. No:20 / Kastamonu,3662124393
455,Kastamonu Bozkurt Devlet Hastanesi,38.86,36.67,Kazm zcan Cad.Merkez Mahalesi Bozkurt,3665751013
456,Kastamonu Cide Devlet Hastanesi,32992.15,41.89,Kasaba Mah. Hastane Sokak No:43,3668661421
457,Kastamonu Daday Devlet Hastanesi,41.481285,33.490147,"Merkez Mah.Davut Ky Yolu Sok.Kiren Dibi Mevkii
Daday Devlet Hastanesi",3666162097
458,Kastamonu Devrekani Devlet Hastanesi,15.0,15.0,ehit Nihat entik Caddesi Merkez Devrekani Kastamonu,3666381009
459,Kastamonu Dr.Mnif slamolu Devlet Hastanesi,33.76,41.36,Saralar Mah.Ara Cd. Merkez/kastamonu,3662141053
460,Kastamonu Rehabilitasyon Merkezi,41.384747,33.78298,Aktekke Mahallesi Safalan Caddesi Bakmevi Sokak/kastamonu,3662144331
461,Kastamonu Takpr Devlet Hastanesi,34.21238,41.504208,Saim Tokatl Caddesi No:23 Takpr Kastamonu,3664171032
462,Kastamonu Tosya Devlet Hastanesi,36.0,42.0,Kastamonu Cad.Dilkah Mah.No:2 Tosya /kastamonu,3663131071
463,Kastamonu nebolu Devlet Hastanesi,35.24332,38.963745,Dr.aTilla Grsoy Cad.,3668114037
464,Kayseri Bnyan Devlet Hastanesi,38.908134,35.87036,Salk Mah.Kprba  Bnyan-kayseri,3527122188
465,Kayseri Develi Devlet Hastanesi,38.728374,35.480347,Camicedit Mh.Hastane Cd.No:14 Develi/kayseri,3526216020
466,Kayseri Eitim Ve Aratrma Hastanesi,38.72706,35.479572,Sanayi Mah. Atatrk Bulvar Hastane Cad. No:78  38010 Kocasinan/kayseri    ,3523368884
467,Kayseri Nimet Bayraktar Az Ve Di Sal Merkezi,38.71746,35.458675,Klkaya Cad.Hrriyet Mah. No:10 Melikgazi / Kayseri,3523551515
468,Kayseri Pnarba le Hastanesi,38.726234,36.385345,Yenicami Mah Saray Sk. No 1,3525121030
469,Kayseri Tomarza Devlet Hastanesi,38.4509,35.798264,Kurtulu Mah. Kayseri Caddesi Tomarza Devlet Hastanesi,3526615005
470,Kayseri Yahyal Devlet Hastanesi,38.102142,35.358124,"Gazibeyli Mahallesi 
Hac Hasan Efendi Cad. No:1
Yahyal Kayseri",3526113033
471,Kayseri Yeilhisarile Devlet Hastanesi,15.45,15.45,"Karacabey Mah.stasyon Cad. Yeilhisar Devlet Hastanesi
Yeilhisar/kayseri",3526516848
472,Kayseri ncesu le Hastanesi,35.186012,38.646244,Bahelievler Mahallesi Cumhuriyet Caddesi No:10/1 ncesu/kayseri,3526913018
473,Krklareli Az Ve Di Sal Merkezi,41.73339,27.221182,"Karaka Mahallesi Hasanpaa Caddesi
  Ayhan etinta Apartman No: 10 Merkez / Krklareli",2882128259
474,Krklareli Babaeski Devlet Hastanesi,41.441113,27.063683,"Dindoru Mah. 434 Nolu Sokak, No: 2, E-5 Yolu zeri,  Babaeski / Krklareli, 39200",2885121044
475,Krklareli Devlet Hastanesi,271300.0,441630.0,Hastane Cad.Krklareli Devlet Hastanesi.Merkez Krklareli ,2882141043
476,Krklareli Lleburgaz Devlet Hastanesi,41.73339,27.221182,"Lleburgaz Devlet Hastanesi 1. Bina
D-100 Kara Yolu zeri Yeni Sanayi Kars 
-----------------------------------------
Lleburgaz Devlet Hastanesi 2. Bina
Yldz Mahallesi Donatm Sokak No:4 Emniyet Mdrl Arkas",2884171224
477,Krklareli Pnarhisar Devlet Hastanesi,27.516418,41.63028,"Camikebir Mahallesi, Kaleler Mevki No:1 Pnarhisar/krklareli",2886151065
478,Krklareli Vize Devlet Hastanesi,27.761244,41.57468,Devlet Mah. Zubeyde Hanim Cad.,2883183370
479,Krehir Ahi Evran niversitesi Eitim Ve Aratrma Hastanesi,34.16,39.157196,Kervansaray Mahallesi 2019 Sokak Krehir,3862134515
480,Krehir Az Ve Di Sal Merkezi,39.15,34.16,Akpaa Mah. Zbeyde Hanm Cad. No:12 Krehir,3862133322
481,Krehir Kaman Devlet Hastanesi,39.37,33.72,iftlikli Mah. Hastane Cad. Kaman,3867122530
482,Krehir Mucur Devlet Hastanesi,39.06,34.37,Karyaka Mh. Acz Yolu zeri No:1 Mucur/krehir,3122650403
483,Kocaeli Darca Az Ve Di Sal Merkezi,40.79094,29.39804,"Fevzi akmak Mah. Dr Zeki Acar Cd. No:62 Darca 41700 
Www.Daricaadsm.Gov.Tr",2626557700
484,Kocaeli Darca Farabi Devlet Hastanesi,40.771263,29.4045,Fevzi akmak Mah. Dr. Zeki Acar Cad. No:65 Darca/kocaeli ,2626564344
485,Kocaeli Derince Az Ve Di Sal Merkezi,40.76858,29.811401,"bni Sina Mah. Srmeli Sok. 41900  Derince  Kocaeli  
",2622293330
486,Kocaeli Derince Eitim Ve Aratrma Hastanesi,40.76194,29.812754,"bnisina Mh., 41900 Derince/kocaeli, Trkiye
Sopal Mevki",2623178000
487,Kocaeli Devlet Hastanesi,40.768127,29.93841,Cedit Mahallesi Hastane Sokak No:1 zmit / Kocaeli,2623092000
488,Kocaeli Gebze Fatih Devlet Hastanesi,40.79106,29.420593,Osman Ylmaz Mah. lyas Uzuner Cad. No:1 Gebze/kocaeli,2626441460
489,Kocaeli Glck Necati elik Devlet Hastanesi,50.24,42.21,iftlik Mah.Hastane Cad.Glck/kocaeli,2624357660
490,Kocaeli Kandra Kazm Din Devlet Hastanesi,41.072105,30.153008,"Sakarya Cad. No:1 Kandra Kocaeli
",2625513038
491,Kocaeli Karamrsel Devlet Hastanesi,40.70875,29.620514,Kalc Konutlar Mevki   Kayack Mahallesi   Ercment Kocaer Caddesi    Karamrsel Kocaeli,2624529400
492,Kocaeli Krfez Az Ve Di Sal Merkezi,40.766933,29.776196,Yeni Yal Mh. Hrriyet Cad. No:45 Krfez / Kocaeli,2625273030
493,Kocaeli Krfez Devlet Hastanesi,40.775406,29.782991,Yavuz Sultan Selim Mah. Mevlana Cad. No :27 Krfez /kocaeli,2625266666
494,Kocaeli Nuh imento Sanayi Vakf Az Ve Di Sal Merkezi,40.749264,30.04647,Konak Mahallesi Sapanca Yolu Caddesi No:3 Kartepe\kocaeli,2623715170
495,Kocaeli zmit Seka Devlet Hastanesi,40.76592,29.900322,Yenidoan Mevkii D100 Karayolu zeri zmit Kocaeli ,2623223460
496,Konya Akehir Devlet Hastanesi,38.381496,31.423645,Kileci Mah.Hastane Cd.Akehir,3328136474
497,Konya Az Ve Di Sal Merkezi,37.92816,32.506355,Dumlupnar Mah. Lale Cad. Glferhat Sok No:22 Seluklu/konya,3322515280
498,Konya Beyhekim Az Ve Di Sal Merkezi,37.872158,32.486046,Beyazt Mh. Abdul Ezel Paa Cd. No:28 Pk.42040 Seluklu / Konya,3323511650
